date,bullish,neutral,bearish
2012-06-07,0.27451,0.267974,0.457516
2012-06-14,0.340351,0.301754,0.357895
2012-06-21,0.328904,0.312292,0.358804
2012-06-28,0.286689,0.269625,0.443686
2012-07-05,0.3264,0.3403,0.3333
2012-07-12,0.302251,0.350482,0.347267
2012-07-19,0.2219,0.360231,0.417867
2012-07-26,0.28115,0.28754,0.43131
2012-08-02,0.304478,0.346269,0.349254
2012-08-09,0.364706,0.361765,0.273529
2012-08-16,0.368421,0.350877,0.280702
2012-08-23,0.41958,0.321678,0.258741
2012-08-30,0.347222,0.326389,0.326389
2012-09-06,0.330579,0.338843,0.330579
2012-09-13,0.364583,0.305556,0.329861
2012-09-20,0.375,0.287162,0.337838
2012-09-27,0.361011,0.274368,0.364621
2012-10-04,0.338608,0.329114,0.332278
2012-10-11,0.305755,0.305755,0.388489
2012-10-18,0.286604,0.267913,0.445483
2012-10-25,0.292453,0.27673,0.430818
2012-11-01,0.357377,0.232787,0.409836
2012-11-08,0.384977,0.215962,0.399061
2012-11-15,0.288235,0.223529,0.488235
2012-11-22,0.358156,0.234043,0.407801
2012-11-28,0.409266,0.247104,0.343629
2012-12-06,0.422222,0.231746,0.346032
2012-12-13,0.432331,0.266917,0.300752
2012-12-20,0.464,0.288,0.248
2012-12-27,0.44403,0.253731,0.302239
2013-01-03,0.387097,0.250896,0.362007
2013-01-10,0.464497,0.266272,0.269231
2013-01-17,0.439437,0.287324,0.273239
2013-01-24,0.523392,0.233918,0.24269
2013-01-31,0.480447,0.276536,0.243017
2013-02-07,0.427673,0.27673,0.295597
2013-02-14,0.422535,0.290141,0.287324
2013-02-21,0.417857,0.257143,0.325
2013-02-28,0.283912,0.350158,0.365931
2013-03-07,0.310559,0.304348,0.385093
2013-03-14,0.4542,0.2255,0.3203
2013-03-21,0.389439,0.277228,0.333333
2013-03-28,0.383954,0.329513,0.286533
2013-04-04,0.35493,0.36338,0.28169
2013-04-11,0.193103,0.262069,0.544828
2013-04-18,0.268493,0.249315,0.482192
2013-04-25,0.282895,0.328947,0.388158
2013-05-02,0.309859,0.330986,0.359155
2013-05-09,0.407942,0.31769,0.274368
2013-05-16,0.384858,0.321767,0.293375
2013-05-23,0.489726,0.294521,0.215753
2013-05-30,0.359684,0.343874,0.296443
2013-06-06,0.294737,0.315789,0.389474
2013-06-13,0.32973,0.324324,0.345946
2013-06-20,0.374532,0.325843,0.299625
2013-06-27,0.302752,0.345566,0.351682
2013-07-04,0.419929,0.341637,0.238434
2013-07-11,0.489362,0.32766,0.182979
2013-07-18,0.477352,0.310105,0.212544
2013-07-25,0.451178,0.323232,0.225589
2013-08-01,0.356164,0.393836,0.25
2013-08-08,0.394984,0.338558,0.266458
2013-08-15,0.34507,0.373239,0.28169
2013-08-22,0.289575,0.281853,0.428571
2013-08-29,0.335404,0.357143,0.307453
2013-09-05,0.3553,0.3322,0.3125
2013-09-12,0.45515,0.299003,0.245847
