Variable,Dimensión,Media,Mediana,Std,Min,Max,Skewness,Kurtosis
AGG_log_ret,ETF,0.0005832789388174826,0.0009134063402013,0.0075543656538452015,-0.109401506987906,0.0623785135142873,-2.7669358462952673,53.441279985266725
AGG_vol_4w,ETF,0.00549590434175804,0.0042928464358576,0.005496200356900371,0.0003290335066725,0.0727407843656667,7.211670707432653,75.04049036523075
AGG_vol_12w,ETF,0.005969370950474133,0.0044546494461923,0.004755559616841894,0.0021493612248347,0.0399027746775002,4.6173457335039725,27.145631856006297
AGG_mom_4w,ETF,0.0023161798381045266,0.0027939471075404,0.01369121674785359,-0.1313611651254133,0.0979422838806682,-0.6750583276022821,13.278577673379388
AGG_mom_12w,ETF,0.006995527319920785,0.0085658456529491,0.022944546774940268,-0.101152563844071,0.1700941178399942,-0.22420964934213639,4.89308381341104
AGG_drawdown,ETF,-0.028899488162048202,-0.0112589067837745,0.04107435263366595,-0.1817416204479298,0.0,-1.781290859630701,2.0777729847413786
EEM_log_ret,ETF,0.0008772788783261956,0.002152688543123,0.032744914157729586,-0.2242021831422685,0.2492377004602506,-0.41465356260145714,7.979681230984647
EEM_vol_4w,ETF,0.027260404317714804,0.0236230022390259,0.01858739199534163,0.0019766451262237,0.2211438219260464,3.760540884091147,27.51168144098286
EEM_vol_12w,ETF,0.028936945426820484,0.0249086645107958,0.015662008753465205,0.0100035052458608,0.1360105791119303,3.3617818538905975,16.96242435746333
EEM_mom_4w,ETF,0.003578456670382054,0.0078475017065982,0.06421627245774131,-0.5909767178841017,0.2594435984306846,-1.6351153055140462,12.046956588329987
EEM_mom_12w,ETF,0.009889751502719969,0.0235359635105343,0.11230081017553126,-0.7618709031749608,0.4544809906597194,-1.3923903691882031,6.88400843982046
EEM_drawdown,ETF,-0.17346344437742423,-0.1631075196891921,0.11210818900411249,-0.6263013052883569,0.0,-0.9846220236293804,1.8781574132066607
EFA_log_ret,ETF,0.0008933341083250935,0.002303964561655,0.0273924143748255,-0.2284173315597014,0.1184845181899299,-1.0527834577531596,7.8016256382793765
EFA_vol_4w,ETF,0.022409105111839897,0.0185820597442205,0.015989596449410247,0.0014866118955371,0.1575896340676608,2.800951244341268,13.187458318639287
EFA_vol_12w,ETF,0.02403401465606518,0.0207417091642198,0.013458470060471676,0.0050636983133031,0.1013137845201957,2.551695170341632,9.037314019155374
EFA_mom_4w,ETF,0.003635669984739666,0.0099188505806056,0.054104119373476554,-0.4115922032960382,0.2185904877644101,-1.6988195089461873,10.139180933771762
EFA_mom_12w,ETF,0.010381578227059497,0.0243576611822453,0.09175792214964476,-0.5074754694547673,0.3759779315327654,-1.3551125930964105,5.2888934035842885
EFA_drawdown,ETF,-0.1309819039436377,-0.0944814212800998,0.12404392577344762,-0.5941837524106061,0.0,-1.1622891180291293,0.8858251659816543
