Cartera,Retorno Anualizado,Volatilidad Anualizada,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Total Return,Semanas
XGB+Opt,0.07834603482679889,0.0825248956876974,0.9493624217749664,1.2372957800864115,-0.2115158697968156,0.37040263173661114,2.2290152460631645,778
LGB+Opt,0.09385022538870594,0.08033712035260078,1.168204996355308,1.6438194434907865,-0.2291095787554038,0.40963029960829334,3.072038592680789,778
Markowitz,0.0539247277744981,0.0648216437893632,0.8318938647980845,1.0306433045558954,-0.1982131111861949,0.2720542927346667,1.2407192064152368,778
60/40,0.08603356693034665,0.10158214301731065,0.8469359316005535,1.0287619837108515,-0.21671705421323514,0.3969856790582589,2.6226091309017634,778
Equal Wt,0.07300706574255215,0.11251683695991249,0.6488545867012163,0.7941850992363872,-0.24209440882141528,0.3015644437968287,1.9811168794771024,778
