,SPY,QQQ,IWM,EFA,EEM,AGG,LQD,TIP,GLD,VNQ
2011-04-01,0.0,0.01943848242037008,0.0,0.0,0.0,0.38047368415248917,0.39999999999999886,1.124509680054864e-14,0.2000878334271587,0.0
2011-04-08,0.0,0.005716941350088911,0.014449278385940493,5.309627041717435e-16,2.1327436439323547e-17,0.4,0.4,0.013772818567028746,0.1660609616969419,0.0
2011-04-15,1.7201016444503004e-15,0.17201982443189612,0.0,0.0,0.0,0.0,0.1716680159484119,0.4,0.2563121596196914,0.0
2011-04-22,0.0,0.0,0.2650996738250523,0.0,0.0,0.0,0.4,0.0,0.3349003261744116,0.0
2011-04-29,0.0,0.0,0.0,0.11018893036581756,0.0,0.08981106963418312,0.0,0.39999999999999974,0.3999999999999999,6.836568506278066e-17
2011-05-06,0.3999999999999996,8.813530896597955e-16,0.0,0.0,0.06148216138490295,2.813021725918131e-17,0.0,0.13851783861509578,0.4,0.0
2011-05-13,0.10101081506201717,0.0,4.122339947697229e-17,0.0,0.05899570751936204,0.4,0.12380186916276965,0.0,0.31619160825585185,7.986165439892445e-17
2011-05-20,0.0,0.0,0.0,0.0,0.3887891447446443,3.616080866033409e-16,0.4,0.12217585703443973,0.08903499822091641,4.999384290199659e-17
2011-05-27,0.0,0.0,2.6560596016530194e-16,2.7679590467583253e-16,0.29443690595072747,0.11566026508541138,0.0,0.39999999999999225,0.18990282896386887,4.337741061639118e-16
2011-06-03,0.0,0.0,0.25107591741997115,0.0,0.0,0.4,0.0,0.13143767863823527,0.21748640394179206,0.0
2011-06-10,0.3999999999999998,2.887857181558409e-16,3.747043250936498e-16,1.2034034753392589e-16,0.12619680911656783,0.0,0.0,0.3347620878934029,0.1390411029900313,0.0
2011-06-17,5.5532550246970174e-15,0.029277021701524908,4.311053135566002e-15,8.61526787592647e-15,0.12133217254466751,0.25485473886566834,2.9522079899097183e-15,0.3999999999999804,0.19453606688813221,5.1315246653248736e-15
2011-06-24,0.0,0.0,0.0,0.0,0.23147277601649374,0.3896293360891045,0.0,0.19331281157741012,0.18558507631701543,0.0
