,SPY,QQQ,IWM,EFA,EEM,AGG,LQD,TIP,GLD,VNQ
2011-04-01,1.0002438264626342e-14,1.631520161252484e-14,4.054645128684968e-14,2.3635958874453888e-14,0.0,0.38592017656618854,0.38041924223204826,0.17703091713744026,0.05662966406426663,1.2606828470440084e-14
2011-04-08,0.04017857430750215,0.0,6.637088868778823e-16,0.0,0.0,1.2812741736417393e-15,0.3999999999999985,0.3540086924464009,0.20581273324609997,0.0
2011-04-15,3.380423789197187e-17,6.064374737514526e-17,5.635039147539739e-16,0.0,0.0,0.2535079872319323,1.2898956533967387e-16,0.4,0.3430366667393282,0.003455346028738337
2011-04-22,2.3646864428053006e-15,0.0,1.2994332443828222e-16,0.0,0.0,0.3924563602148806,0.0,0.3031864113691152,0.2836896780882797,0.02066755032773249
2011-04-29,0.0,0.11370952531474184,0.0,0.0,0.0,0.29795405486614884,0.18833641981151986,0.4,0.0,0.0
2011-05-06,0.11321824068765027,0.0,0.0,0.0,4.436400513793947e-15,0.4,0.0,0.1429376790056843,0.3438440803066719,0.0
2011-05-13,4.188686344389764e-15,3.45794763266169e-15,5.2298050330461254e-15,4.842284071545494e-15,6.578708389680388e-15,0.3999999999999452,3.5117220275378974e-14,0.3267534733081891,0.09339382872060101,0.1798526979712052
2011-05-20,0.15928099084965205,4.384088173821533e-14,3.634799721128254e-14,3.152168309892458e-14,3.189399013108266e-14,0.369080351948963,2.322414941170659e-13,0.3999999999995771,1.879451305229204e-14,0.07163865720141328
2011-05-27,0.11164619596490617,0.0,3.5154670038590398e-15,0.0,0.0,0.3999999999999499,2.0788995509814667e-14,0.4,0.08835380403517135,0.0
2011-06-03,0.06819832880591507,0.0,3.698877164966392e-15,0.0,0.0,0.20370040987144664,0.0,0.4,0.3281012613226505,6.871227165601019e-15
2011-06-10,0.15534529848752826,0.0,0.0,0.0,1.0474076417974427e-15,0.22418599371927234,1.974688741155512e-16,0.4,0.22046870779320188,4.958241753808576e-16
2011-06-17,0.0,2.0225452714538183e-16,0.0,0.0,3.2796607497918157e-16,0.39999999999999997,1.345088320239829e-16,0.1224167873349608,0.4,0.07758321266503979
2011-06-24,0.19093857317515894,1.2839277980635638e-14,2.2600151933812977e-15,1.3015623463990406e-14,1.5328832326459273e-14,6.366242880355855e-15,8.904256828124856e-15,0.3999999999999484,0.36277993500072225,0.04628149182411162
2011-07-01,0.07258213136731681,1.0112210932630764e-17,0.0,3.3987750172641516e-17,5.073881272932231e-17,0.025506516899951773,0.39999999999999997,0.31052465404136337,0.19138669769136785,1.6715542893867297e-16
2011-07-08,1.303819031094423e-16,2.2359262924077655e-15,0.0,0.0,0.05153561139456008,0.4,1.2720441272469868e-15,0.29229993017474226,0.25616445843070346,0.0
2011-07-15,1.977625620545557e-17,0.12747432079856097,1.728878209851606e-16,7.260297337861905e-16,2.0309373970778386e-16,0.4,0.0,0.1640031513735329,0.3085225278279003,0.0
2011-07-22,0.0,0.01565917446212554,0.0,7.005171921136819e-16,0.0,0.3272434023628012,0.4,1.8276955296471663e-15,0.25709742317507295,0.0
2011-07-29,0.0,3.6902429764283564e-16,0.021223332832333568,2.1581966425210316e-17,0.0,0.3675083942627427,0.0,0.4,0.21126827290492334,6.008400720324357e-17
2011-08-05,0.358843684227081,8.126541178785759e-14,4.076032051102802e-14,3.466707274894067e-14,3.480487567149616e-14,2.012925553741195e-14,0.39999999999985447,2.198273390463431e-14,0.24115631577279562,3.545688351453627e-14
2011-08-12,0.3801521456909169,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.21984785430907727,0.0
2011-08-19,0.4,0.0,0.0,0.0,0.0,0.04425052480688738,0.0,0.4,0.15574947518694937,0.0
2011-08-26,0.2670825944001995,0.0,0.0,0.0,0.0,0.0,0.33291740560086147,0.4,0.0,0.0
2011-09-02,0.4,0.0,0.0,0.0,0.0,0.17134413856164363,0.0,0.4,0.028655861394410013,0.0
2011-09-09,1.105256297715846e-14,1.1086972922064855e-14,0.0,0.3329655107910102,1.3437741226979674e-14,0.06738045124331454,7.897337511827804e-15,0.39999999999993985,0.19965403796569475,1.2488939537288039e-14
2011-09-16,2.128272845422791e-15,0.0,1.240998683206414e-15,0.12144084631843524,0.0,0.3999999999999975,0.01762446299004707,0.21417004423337116,0.24676464645814616,1.3042108509685253e-15
2011-09-23,0.0,0.0,0.3604335321830965,0.0,0.0,0.29270735309471324,0.0,0.13532424232582274,0.21153487239648738,0.0
2011-09-30,0.4,0.0,0.0,0.0,0.0,0.163711374251664,0.0,0.2754916172581319,0.1607970084909612,0.0
2011-10-07,0.0,0.0,0.31606861655184754,0.0,0.0,0.0,0.21185356385277285,0.3313097578631186,0.1407680617330808,0.0
2011-10-14,4.06770383377943e-12,1.0638870674320989e-12,1.1617727620142351e-12,1.1226469199434527e-12,0.07208344861815541,0.013827305554506434,0.3999999999883662,0.39999999999109637,0.1140892458392744,1.1851785588711352e-12
2011-10-21,0.0,0.0,0.0,0.0,0.4,0.3222983925372654,0.0,0.0,0.27770160746273814,0.0
2011-10-28,2.856337485694967e-12,1.180517365654118e-11,3.0505449333466895e-12,3.5264915213417876e-12,3.1752411785863708e-12,0.08929371775995885,0.39999999997607033,0.4,0.11070628221925886,0.0
2011-11-04,7.416938464379898e-16,5.9218522087973e-16,5.602672725764423e-16,0.0,0.05513625477519586,0.39999999999999797,4.1470600098457845e-16,0.25343551034047523,0.2914282348843267,2.0282791346873007e-15
2011-11-11,0.20179633427628216,0.0,0.0,0.0,0.0,0.1390145335797605,0.259189132144169,0.0,0.4,0.0
2011-11-18,0.0,0.20000000001734014,0.0,0.0,0.0,7.755926109687117e-12,0.4,1.5047820330217342e-13,0.39999999997400554,0.0
2011-11-25,0.0,0.0,0.2582970594573167,0.181947134671533,6.242515740533043e-16,0.3999999999999894,2.225695969822087e-16,0.0,0.15975580587115945,9.479111323376998e-16
2011-12-02,0.0,5.0971865184820336e-14,0.0,0.0,3.586239965679297e-15,0.060973313870914356,0.4,0.4,0.1390266861289596,0.0
2011-12-09,8.180362621800672e-13,0.1882870790352936,1.5417160871871e-11,8.999306661249786e-13,9.288890553297072e-13,0.3999999999858694,5.043718013649232e-13,0.011712920962029486,0.39999999999730346,9.358323167434816e-13
2011-12-16,0.0,0.0,0.0,0.12157140233878339,0.0,0.39999999999996744,0.0,0.07842859766200518,0.4,0.0
2011-12-23,1.152230811967935e-12,8.12404383366924e-13,0.0,1.22347737833268e-12,1.2989277143686074e-12,0.09188178548911921,0.3999999999719012,0.1613116089328197,0.3468066056108025,2.3495234839747517e-11
2011-12-30,0.0,0.0,0.4,0.0,0.0,1.7271668680267687e-14,0.0,0.37218915375538353,0.22781084624461015,0.0
2012-01-06,3.135206203517421e-12,5.509645143936169e-12,1.5913063845892172e-12,0.3999999999962096,1.7549017675861251e-12,0.0,0.21205130243534967,0.38794869757984946,4.562058176493436e-12,1.7076743359702767e-11
2012-01-13,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.19138126467290364,0.3009517952867558,0.10766694004018061
2012-01-20,0.0,0.0,0.0,0.0,0.0,0.4,0.25526246864875657,0.20882389054872905,1.1828605964060226e-15,0.13591364080374974
