,SPY,QQQ,IWM,EFA,EEM,AGG,LQD,TIP,GLD,VNQ
2011-04-01,4.331242566520313e-17,0.026423801254391047,1.8534005196992401e-16,1.7315901224221707e-17,0.0,0.15713143265786042,0.4,0.18182519325043903,0.23461957283730883,3.042472356496595e-16
2011-04-08,1.1719741624798513e-16,5.2088393067073536e-17,8.893088309750633e-17,0.0,4.950901803747748e-17,0.3048781470100854,0.3999999999999999,0.07717456883257327,0.21794728415734121,0.0
2011-04-15,0.0,0.05957370031585623,0.0,1.117084490543755e-15,1.54303947660965e-15,0.355197180511143,0.1281268955913099,0.09154781663332152,0.3655544069483665,8.283709898159612e-16
2011-04-22,0.0,0.049565373878069516,6.402686876914267e-17,0.0,0.0,0.39999999999999986,0.1504346261219308,1.1513421959538625e-16,0.4,0.0
2011-04-29,2.0474474582042183e-15,0.23271349879784992,3.0465380405002265e-15,2.499073348368107e-15,5.264583528194819e-15,0.2734202473845717,1.436662471085562e-14,0.22670726053669193,0.2671589932808573,1.840752588145575e-15
2011-05-06,2.5528452061689086e-17,0.4,2.808392603272795e-17,0.0,0.08866550873005434,0.1113344912699435,0.0,0.0,0.4,0.0
2011-05-13,0.0,0.4,0.0,0.0,0.0,0.33895257374953186,0.0,2.994775387003637e-13,0.261047426250376,0.0
2011-05-20,0.0,0.4,0.0,0.0,0.0713362125465139,0.0,0.0,0.3964231757955404,0.13224061165795076,0.0
2011-05-27,0.0,3.8666661220132183e-16,1.5095628996078228e-15,1.3029947090920722e-15,0.3160623561955191,0.10839838229959577,1.6953038554274572e-16,0.4,0.17553926150488092,3.60027580935115e-16
2011-06-03,0.23603170509973873,0.0,4.0269301565185045e-16,9.628935019115326e-16,3.0861679314528323e-15,0.12893906408270794,0.0,0.39999999999999897,0.23502923081754903,1.365969376455542e-15
2011-06-10,0.13110239945110774,0.32140969656934537,0.0,1.7574281941279586e-16,0.02250055403378353,0.0,0.0,0.28472006905980957,0.24026728088595445,0.0
2011-06-17,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.24144139855929062,0.35855860144074136,0.0
2011-06-24,0.19972675680665986,3.1091911339921514e-16,0.0,0.0,0.0,0.3735482630512259,0.0,0.1549491247742483,0.2717758553678691,0.0
2011-07-01,0.0,0.0680601100867944,0.0,0.0,4.915105563267002e-16,0.2353405349278862,0.09114968565433117,0.4,0.20544966933098785,1.4132635358335909e-16
2011-07-08,0.0,0.05566530910163558,0.0,1.918287165003877e-16,0.0,0.3760989533699375,0.22645936795393723,0.024765757870370945,0.31701061170411876,7.216740185847841e-16
2011-07-15,0.0,0.08102593434329383,0.0,0.0,3.931193396814469e-15,0.1189740656567122,3.092870217599243e-16,0.39999999999999347,0.4,0.0
2011-07-22,1.8552130505904433e-14,0.014427988116210034,1.7630929140560287e-14,2.5008381694880933e-14,0.0,0.3502966436148348,0.060086890729005665,0.3999999999999543,0.17518847753992073,3.7874545122573355e-14
2011-07-29,0.0,0.06181497011953049,0.0,0.0,8.395092983534178e-15,0.39999999999999664,4.316808494743287e-16,0.13818502988046572,0.4,0.0
2011-08-05,0.0,0.10183407147031082,0.0,0.0,0.0,0.399999999999995,0.09816592852969894,0.0,0.4,0.0
2011-08-12,0.0,0.0,0.0,0.0,1.1431625217824589e-14,0.32261974970931234,2.0490871595494358e-17,0.39999999999997843,0.2742923349130745,0.0030879153776566443
2011-08-19,4.628728330384465e-13,9.502854429192939e-14,0.3690132859711994,9.588635941078094e-14,1.0412759295033456e-13,0.15548128728561314,8.446833247096641e-14,0.265021086184667,0.21048434055756746,1.1047358287334075e-13
2011-08-26,1.6970350331410077e-14,1.543284388347341e-14,2.7642638731023726e-14,0.0,2.6343811387276368e-14,0.32786742734124896,0.12310354711845706,0.3999999999999417,0.12927321153440446,0.019755814005917773
2011-09-02,1.1023913458330927e-14,1.407962872141059e-14,1.5224585937399847e-14,1.4743376246841652e-14,1.62524595325117e-14,0.31658334365142293,0.13738656232352825,0.399999999999958,0.12089913488434643,0.025130959140673082
2011-09-09,2.923459688504402e-15,0.0,0.0,0.1883960177852833,0.0,0.16105488417530092,0.0,0.4,0.25054909803941033,0.0
2011-09-16,0.0,0.023243395212070726,0.0,0.0,0.0,0.011639562762841992,0.39999999999981684,0.4,0.1651170420253421,4.095155807901563e-14
2011-09-23,1.1965847860968555e-14,2.1381472642273604e-15,4.922896388705442e-15,3.849895603431296e-15,0.09570868242295424,0.3999999999999248,0.1042913175771026,2.5184813069420805e-15,0.39999999999998925,3.672906980202629e-15
