Cartera,Retorno Anualizado,Volatilidad Anualizada,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Total Return,Semanas
XGB Def,0.0783460348267988,0.0825248956876974,0.9493624217749664,1.2372957800864115,-0.2115158697968156,0.3704026317366111,2.2290152460631645,778
XGB Tun,0.10223623620875343,0.08043241206385808,1.271082559697259,1.8221106778047103,-0.1537616871864893,0.6649005879127521,3.6163824560333495,778
LGB Def,0.0938502253887059,0.0803371203526007,1.168204996355308,1.6438194434907865,-0.2291095787554038,0.4096302996082933,3.072038592680789,778
LGB Tun,0.0919777961644474,0.07479454265724286,1.2297394020570371,1.6424599231624324,-0.20632686353746596,0.4457868189701123,2.9595458522795974,778
Markow.,0.0539247277744981,0.0648216437893632,0.8318938647980845,1.0306433045558954,-0.1982131111861949,0.2720542927346667,1.2407192064152368,778
60/40,0.08603356693034665,0.10158214301731065,0.8469359316005535,1.0287619837108515,-0.21671705421323514,0.3969856790582589,2.6226091309017634,778
EqualWt,0.07300706574255215,0.11251683695991249,0.6488545867012163,0.7941850992363872,-0.24209440882141528,0.3015644437968287,1.9811168794771024,778
