Price,Close,High,Low,Open,Volume
Ticker,LQD,LQD,LQD,LQD,LQD
Date,,,,,
2007-01-03,50.25011444091797,50.60415471251152,50.127383073167266,50.58055418862895,1597400
2007-01-04,50.627750396728516,50.651354518159465,50.387002043769314,50.387002043769314,111600
2007-01-05,50.59468078613281,50.60412026896411,50.448345392618414,50.50971103472542,103200
2007-01-08,50.580501556396484,50.613545136635246,50.49553183557108,50.49553183557108,120600
2007-01-09,50.589942932128906,50.61826857445254,50.54745987086385,50.58522499297519,127200
2007-01-10,50.52383804321289,50.580485706505435,50.48607293435119,50.556881613097126,66500
2007-01-11,50.36804962158203,50.49078440015683,50.33500605829016,50.46246237490045,73600
2007-01-12,50.31611251831055,50.35387761138981,50.27835102670879,50.34915967586303,86400
2007-01-16,50.37277603149414,50.39638012247622,50.250041241048876,50.344454003498555,205300
2007-01-17,50.30195999145508,50.40581221419743,50.24059440596101,50.40581221419743,100400
2007-01-18,50.448333740234375,50.448333740234375,50.27367273560583,50.3586424673872,91700
2007-01-19,50.420005798339844,50.45304938133387,50.36807965342346,50.45304938133387,181100
2007-01-22,50.45304870605469,50.45304870605469,50.39640462252618,50.448330766747574,73200
2007-01-23,50.31611251831055,50.415246788012986,50.235864396625246,50.415246788012986,142800
2007-01-24,50.339744567871094,50.344466107498405,50.278378958634036,50.33502302824378,84900
2007-01-25,50.17926025390625,50.30199150177606,50.132052049285164,50.287830480981874,168800
2007-01-26,50.14618682861328,50.221713428395056,50.10370019003498,50.13202221476837,97900
2007-01-29,50.12257385253906,50.24530860708393,50.06592621163891,50.2075435131505,154100
2007-01-30,50.19342041015625,50.202859890029664,50.141494267151735,50.1981383493528,77100
2007-01-31,50.405845642089844,50.42000666340447,50.16037953584849,50.17454055716312,166800
2007-02-01,50.38545227050781,50.67464268254079,50.342786611499626,50.67464268254079,135300
2007-02-02,50.4328498840332,50.54189035284824,50.38544239988026,50.43759171753626,174000
2007-02-05,50.49925994873047,50.504001785882764,50.44711420790306,50.47555799689292,101400
2007-02-06,50.631980895996094,50.631980895996094,50.40916168112957,50.44234729077181,168100
2007-02-07,50.70309066772461,50.7315380597201,50.636719448002125,50.72679622489415,156700
2007-02-08,50.759971618652344,50.80264088957774,50.65093114136253,50.69834224615952,113600
2007-02-09,50.54662322998047,50.70306753826885,50.50395396993196,50.70306753826885,175400
2007-02-12,50.556129455566406,50.60353695586611,50.13419655406633,50.579835014196476,572300
2007-02-13,50.52293014526367,50.57982130037454,50.37596584909323,50.57982130037454,97600
2007-02-14,50.81211471557617,50.81211471557617,50.57981552175874,50.631964837079245,102700
