Price,Close,High,Low,Open,Volume
Ticker,TIP,TIP,TIP,TIP,TIP
Date,,,,,
2007-01-03,57.00748825073242,57.10515194408065,56.85811741303318,57.076425265766126,521800
2007-01-04,57.0477294921875,57.15113944588938,56.98453427697647,57.07645180077939,274800
2007-01-05,56.88688278198242,56.950078015664076,56.70304329756642,56.75475048106916,150300
2007-01-08,56.92707824707031,56.95005872272211,56.74898503961584,56.88686351044906,239500
2007-01-09,56.88688278198242,56.90412143186936,56.783472798055975,56.886882781982415,180500
2007-01-10,56.743247985839844,56.78346272895356,56.680057146442515,56.76048663266995,237700
2007-01-11,56.55367660522461,56.697301339079345,56.42153992152348,56.65134037230686,451500
2007-01-12,56.32386779785156,56.42153155044376,56.16875065377842,56.42153155044376,259600
2007-01-16,56.42152404785156,56.46173878669369,56.358328832088546,56.39854357093067,343100
2007-01-17,56.41577911376953,56.52493528585273,56.34684206451943,56.46174006865487,161800
2007-01-18,56.45604705810547,56.55371527504951,56.35838322424346,56.41009044298819,178300
2007-01-19,56.55367660522461,56.56516465537821,56.38707138798364,56.467500888295966,168000
2007-01-22,56.64555740356445,56.72598685169346,56.59385463679989,56.634069360864395,152300
2007-01-23,56.63984680175781,56.72028068353408,56.56516351956142,56.61687070191196,152400
2007-01-24,56.71452713012695,56.77197613846756,56.59962473036738,56.657078121786355,132400
2007-01-25,56.542152404785156,56.77195272645929,56.43300064887428,56.77195272645929,175900
2007-01-26,56.49617385864258,56.60532996361508,56.42149064017862,56.43872489189528,207200
2007-01-29,56.43876647949219,56.55366888072922,56.38706368624435,56.530688400481814,252900
2007-01-30,56.5995979309082,56.61683657001857,56.45597328652264,56.45597328652264,188200
2007-01-31,56.89262008666992,56.89262008666992,56.588136399215415,56.60537066332365,131500
2007-02-01,56.703041076660156,57.09370051362796,56.6685725443944,56.938587735353174,242600
2007-02-02,56.80646514892578,56.80646514892578,56.70305514339597,56.70880136122539,177300
2007-02-05,56.83517837524414,56.89837360713973,56.760495093494306,56.87539312435234,164000
2007-02-06,56.83517837524414,56.87539312435234,56.70304169498637,56.75474887702773,147600
2007-02-07,56.93284606933594,56.961572770572644,56.85241656556821,56.944338503062305,176300
2007-02-08,56.87538528442383,56.93283429193385,56.81793627691381,56.85815102047866,368600
2007-02-09,56.731754302978516,56.863890950415644,56.65707103977881,56.863890950415644,425300
2007-02-12,56.58812713623047,56.726005609605224,56.565146660155065,56.657068564456665,164200
2007-02-13,56.5938720703125,56.651321067662124,56.53067685830466,56.651321067662124,182800
2007-02-14,56.967288970947266,56.99026506013529,56.720254372945284,56.73748863137477,144900
2007-02-15,56.95009994506836,57.093724734544246,56.91563139817998,57.093724734544246,265800
2007-02-16,57.1396369934082,57.19134415272833,56.91558286353398,56.99026611246639,227300
2007-02-20,57.14541244506836,57.14541244506836,56.98455343701895,57.05349050728056,173600
2007-02-21,57.225830078125,57.26029860610563,57.13390815940555,57.17412290307573,213200
2007-02-22,57.19135284423828,57.19135284423829,57.08794289295957,57.174114199793785,140200
2007-02-23,57.35795211791992,57.513069232297966,57.300503120515195,57.30624933517893,170800
2007-02-26,57.59925842285156,57.66245364973478,57.501590282982036,57.501590282982036,450700
2007-02-27,58.11056137084961,58.27142035258607,57.679687219879014,57.719901965313134,275400
2007-02-28,58.01863098144531,58.02437719654836,57.52456167645223,57.97841624187973,395900
2007-03-01,58.1038818359375,58.178771237145966,57.44714587095304,58.16725148125845,280800
2007-03-02,58.21910858154297,58.294002392857415,58.06356767258717,58.184544911814285,166000
2007-03-05,58.17881393432617,58.35164116570697,58.15577001046346,58.34587908594653,321900
2007-03-06,58.09813690185547,58.184550479623006,58.040529315069485,58.069335306051045,172100
