Price,Close,High,Low,Open,Volume
Ticker,AGG,AGG,AGG,AGG,AGG
Date,,,,,
2007-01-03,55.837989807128906,55.92740884943148,55.770922327448524,55.88828721893574,471200
2007-01-04,55.955326080322266,55.994447690809295,55.85472704422194,55.90502443030423,1745500
2007-01-05,55.91619110107422,55.9385426469208,55.83235788037797,55.88824527286389,318200
2007-01-08,55.94971466064453,55.97207046722004,55.893827276172814,55.97207046722004,281700
2007-01-09,55.94971466064453,55.983246238540744,55.91059306512091,55.983246238540744,361300
2007-01-10,55.8882942199707,55.94977168472775,55.83799680186319,55.94977168472775,697900
2007-01-11,55.78207778930664,55.938564254287066,55.742956173061536,55.91062267921849,445200
2007-01-12,55.70383834838867,55.80443740614301,55.66471672948069,55.77649582917254,232500
2007-01-16,55.77648162841797,55.84354480722205,55.70382416613277,55.787657403573455,448700
2007-01-17,55.742942810058594,55.86589764990677,55.703821203191936,55.82677604304011,258800
2007-01-18,55.82118225097656,55.8379523075877,55.69264166450328,55.7429390425315,290600
2007-01-19,55.798858642578125,55.84916031357197,55.737385455266235,55.84916031357197,309200
2007-01-22,55.8267822265625,55.84354802222875,55.770894819696366,55.83796226629722,263600
2007-01-23,55.720619201660156,55.82680830907286,55.687087594661534,55.82680830907286,334200
2007-01-24,55.70383834838867,55.79884738517425,55.69266257038782,55.79884738517425,358000
2007-01-25,55.63114547729492,55.726154446357484,55.57525809925422,55.726154446357484,296700
2007-01-26,55.625579833984375,55.647935647783115,55.524980803857794,55.58645822582046,289500
2007-01-29,55.55295181274414,55.715028338283716,55.5194159448804,55.70943831631685,388400
2007-01-30,55.63678741455078,55.64237317281394,55.53618833462496,55.63678741455078,293100
2007-01-31,55.68146896362305,55.787658016476925,55.580869930376124,55.61440578408219,386400
2007-02-01,55.7111701965332,55.9748857545726,55.67189368453704,55.9748857545726,821500
2007-02-02,55.789703369140625,55.82336771578193,55.705538221720154,55.767259044440685,445100
2007-02-05,55.8795166015625,55.89074091239881,55.81218785982588,55.8682965715465,248000
2007-02-06,55.98610305786133,55.99732736406795,55.756056150447954,55.941214394671896,236400
2007-02-07,56.053489685058594,56.07593403812823,55.952492236656504,56.03104533198894,289800
2007-02-08,56.087162017822266,56.10960637407069,56.002996752096514,56.03666542688076,353800
2007-02-09,55.95811462402344,56.01422337654266,55.84028067866262,55.997391178869236,419600
2007-02-12,55.90200424194336,55.95811727794727,55.8066189300545,55.93006075994531,304700
2007-02-13,55.89638137817383,55.94687796005177,55.76171526485438,55.84588051547342,227400
2007-02-14,56.10963439941406,56.12085444273078,55.93008374056895,55.99180468087434,269400
2007-02-15,56.188140869140625,56.23302956676882,56.14325217151242,56.199365183958584,438500
2007-02-16,56.22742462158203,56.2442568151462,56.160091566503006,56.188148076324865,309400
2007-02-20,56.25547409057617,56.27230628203365,56.13764446955198,56.19936535877729,252400
2007-02-21,56.24984359741211,56.26106362778576,56.12078970360268,56.19934703950001,223600
2007-02-22,56.13764953613281,56.210590465972295,56.11520518522323,56.210590465972295,188000
2007-02-23,56.27230453491211,56.317193231286254,56.17130710848113,56.17130710848113,360200
2007-02-26,56.39573669433594,56.41256888240101,56.305959316894246,56.33962797384537,222700
2007-02-27,56.62579345703125,57.04661535421041,56.42379860391951,56.62579345703124,379300
2007-02-28,56.58652877807617,56.64824967839787,56.45747909981997,56.62580532547884,533700
2007-03-01,56.57749557495117,56.73521788988145,56.49300024977831,56.72394955446599,662900
2007-03-02,56.695804595947266,56.71270280661143,56.54934627417107,56.633841625103955,187600
2007-03-05,56.66197204589844,56.71830511328207,56.571846873782015,56.71830511328207,264700
2007-03-06,56.6225471496582,56.66761188903576,56.560588505026665,56.560588505026665,221300
2007-03-07,56.667625427246094,56.718324345560625,56.588764263300035,56.650727220344955,296500
2007-03-08,56.61697006225586,56.701465452958054,56.58880349948377,56.667664718108725,351700
2007-03-09,56.45919418334961,56.54931936320663,56.44792584986122,56.5155229579615,309900
2007-03-12,56.6338005065918,56.639434671926566,56.50987465488054,56.5943699444663,224200
2007-03-13,56.7802848815918,56.78028488159179,56.63946076660532,56.70705359132783,344300
2007-03-14,56.71266174316406,56.81968939669193,56.67323118096047,56.73519410693882,468700
2007-03-15,56.650760650634766,56.78595068323224,56.622594090770704,56.78595068323224,201400
2007-03-16,56.656394958496094,56.6901913923234,56.58316362171873,56.63949674158245,264100
2007-03-19,56.61697006225586,56.62823410879625,56.53247467155367,56.605701718101386,181300
2007-03-20,56.673248291015625,56.718313032170514,56.61128534633023,56.712678865123586,446400
2007-03-21,56.74646759033203,56.791532325386434,56.60001364781973,56.639444216589915,664300
2007-03-22,56.639495849609375,56.72962110426741,56.55500046875811,56.71835705904025,210200
2007-03-23,56.56058883666992,56.7070427940906,56.50425576331262,56.7070427940906,226200
2007-03-26,56.526824951171875,56.69581568609355,56.4873943527052,56.55499150619646,444100
2007-03-27,56.5380744934082,56.60566732681204,56.481741402089696,56.58313494980693,275600
2007-03-28,56.56620788574219,56.69576791302715,56.52114315472052,56.63943914805471,217600
2007-03-29,56.47610092163086,56.566226115109174,56.44793438126288,56.53242970475614,223000
2007-03-30,56.47610092163086,56.571860282704904,56.369073225365355,56.566226115109174,435200
2007-04-02,56.549102783203125,56.656547459084535,56.44165810732171,56.656547459084535,1065300
2007-04-03,56.49250793457031,56.56036404073933,56.424647514050704,56.53774821491672,390600
2007-04-04,56.554691314697266,56.61123948703062,56.4981431423639,56.55469131469726,181400
2007-04-05,56.50381088256836,56.56035907085726,56.447262694279466,56.55470727207352,269600
2007-04-09,56.28889083862305,56.38502313002868,56.266270714583925,56.37936702043202,324200
2007-04-10,56.37377166748047,56.46990405513535,56.28894719599306,56.40204361507505,314700
2007-04-11,56.33986282348633,56.49820391643291,56.27200666943429,56.45861540743103,344200
2007-04-12,56.407649993896484,56.45289024738023,56.33978961367087,56.35110183421582,274100
2007-04-13,56.31723403930664,56.43033480265524,56.24372177889478,56.43033480265524,291600
2007-04-16,56.43026351928711,56.43591962889792,56.30585499393444,56.35109524212587,396400
2007-04-17,56.59431076049805,56.59431076049805,56.45858988504,56.498178376145695,368200
2007-04-18,56.67912292480469,56.684774724291415,56.58298624697062,56.65650278380554,160100
2007-04-19,56.656532287597656,56.718736629150435,56.577363910049215,56.718736629150435,223500
2007-04-20,56.628231048583984,56.696091476997516,56.56037062017046,56.696091476997516,162100
2007-04-23,56.684814453125,56.718746845581386,56.566061865412095,56.650886375022395,409600
2007-04-24,56.7130241394043,56.80350034623182,56.69606012027093,56.72433204737697,227500
2007-04-25,56.735687255859375,56.803543383804474,56.662170698116206,56.75830740329173,401800
2007-04-26,56.628231048583984,56.72436341973983,56.582990762974966,56.72436341973983,251900
2007-04-27,56.61690139770508,56.66779346371316,56.566005017347564,56.63952153182515,169100
2007-04-30,56.80915451049805,56.80915451049805,56.68474595531866,56.71867830677122,298600
2007-05-01,56.776222229003906,56.821635165328004,56.651343150336594,56.76487116033086,1029900
2007-05-02,56.79328536987305,57.20198902053176,56.65137311690567,56.810314147298214,255200
2007-05-03,56.730804443359375,56.79891950600722,56.65700735107051,56.77053967350905,267900
2007-05-04,56.80463790893555,56.83869546466386,56.73084509458476,56.79896020604137,233700
2007-05-07,56.86143493652344,56.86143493652343,56.74790679768094,56.793319785546295,301500
2007-05-08,56.798912048339844,56.87838249820476,56.77620558683349,56.87270913093919,291000
2007-05-09,56.730804443359375,56.87271659829609,56.72512674453363,56.87271659829609,302100
2007-05-10,56.82735061645508,56.833028319971376,56.7308513107722,56.79329305699497,218200
2007-05-11,56.7138671875,56.895514865681236,56.67412756241378,56.88983715769431,185100
2007-05-14,56.72516632080078,56.776252653428806,56.62866702751343,56.76490157867312,247300
2007-05-15,56.70248031616211,56.764922076912306,56.62300977172003,56.75924437207505,266100
2007-05-16,56.7138671875,56.72521827265158,56.59465697388588,56.62304118299824,238800
