Price,Close,High,Low,Open,Volume
Ticker,EFA,EFA,EFA,EFA,EFA
Date,,,,,
2007-01-03,41.73823928833008,42.05620026537033,41.60764569739231,41.99374302603836,12081400
2007-01-04,41.61900329589844,41.715526543634674,41.460018477876375,41.62467807619349,8674000
2007-01-05,40.99443054199219,41.32942884779143,40.937652416300566,41.32942884779143,8961600
2007-01-08,41.05122375488281,41.147747027036736,40.94334225547875,41.147747027036736,6584100
2007-01-09,41.090972900390625,41.26130733873156,40.897922005330386,41.24995344226678,8505700
2007-01-10,40.77866744995117,40.83544556940277,40.59697486857035,40.71053110747355,5273600
2007-01-11,41.03986740112305,41.17613581108427,40.74461845755794,40.778684477074584,4562000
2007-01-12,41.50543975830078,41.53951009711364,41.210190923911924,41.22722392737183,6611900
2007-01-16,41.454345703125,41.66442521343291,41.37485545621494,41.61332619694512,6899500
2007-01-17,41.477046966552734,41.63034830779077,41.346453405437614,41.403231519529754,3764900
2007-01-18,41.33510971069336,41.72688182688457,41.33510971069336,41.67578281116578,7926000
2007-01-19,41.84043502807617,41.89153403477347,41.49975765585656,41.51679498998173,7582600
2007-01-22,41.630348205566406,42.01644544509432,41.56221186968768,41.97102122117517,6171500
2007-01-23,41.999412536621094,42.09025665276709,41.78932874945154,41.817719972436656,5401500
2007-01-24,42.27195358276367,42.30602392024306,42.050515882665636,42.07322799702093,7744400
2007-01-25,41.58493423461914,42.112979055167145,41.50544398910812,42.08459215713806,5003800
2007-01-26,41.664424896240234,41.72120735665247,41.431633269745475,41.675783121080094,5965500
2007-01-29,41.709842681884766,41.823403253254924,41.59628644240746,41.67577667642014,5772600
2007-01-30,41.99374771118164,42.00510593699653,41.795022078360134,41.863158437567755,4124800
2007-01-31,42.1527214050293,42.20382474914955,41.60764361514149,41.70416685949915,5358500
2007-02-01,42.50476837158203,42.544513506371324,42.33442960425947,42.436631998274045,7254100
2007-02-02,42.419578552246094,42.47635667003576,42.30034320531997,42.4422906657405,7174500
2007-02-05,42.283321380615234,42.340099513414,42.13569476982336,42.18111900881991,3339100
2007-02-06,42.61264419555664,42.64671021171915,42.39688120814282,42.57857384749991,4497700
2007-02-07,42.73188018798828,42.839757351325694,42.60128657102916,42.686455944533435,5121800
2007-02-08,42.56153106689453,42.58424318308604,42.27763611234063,42.35144724104308,3842600
2007-02-09,42.37985610961914,42.66943029672777,42.260620698902656,42.62400604543719,4636400
2007-02-12,42.21517562866211,42.34009009216052,42.14136450563709,42.317377977716006,5846900
2007-02-13,42.75458526611328,42.77729305220543,42.453652951722695,42.487723294648056,4569100
2007-02-14,43.3337287902832,43.379153025916224,42.94195233876208,42.95898967604461,5539000
2007-02-15,43.38483810424805,43.44729102196451,43.248565378609946,43.37347987783114,4191200
2007-02-16,43.367794036865234,43.68575934879989,42.868140449387134,43.33372802668752,4899400
2007-02-20,43.43024826049805,43.71982232257767,43.15203242228446,43.33372501710256,7949700
2007-02-21,43.20880889892578,43.36778937184504,42.98169208108697,43.0611823175466,6819200
