Strategy,Burke,Cond_Sharpe_25,VaR_95,CVaR_95
XGB Tuned,2.7577631693693765,-8.86234807194817,-0.013512136000327414,-0.02203125809162575
LGB Tuned,1.98963583144642,-8.991956281656893,-0.013870423486586686,-0.02153246767141958
60/40,1.4875874327453371,-8.853345110089787,-0.020740209628310278,-0.03318566895590383
Equal Wt,1.0555070146044574,-8.865648406152282,-0.02121895491386902,-0.03613916634044968
